ward_name,ward_number,project_type
Etobicoke-Lakeshore,3,New Park
Spadina-Fort York,10,Master Plan
Etobicoke-Lakeshore,3,New Park
Etobicoke-Lakeshore,3,New Park
Etobicoke-Lakeshore,3,Facility Upgrade
Etobicoke-Lakeshore,3,New Park
Etobicoke Centre,2,New Park
Spadina-Fort York,10,New Park
Spadina-Fort York,10,New Park
Spadina-Fort York,10,Master Plan
Etobicoke-Lakeshore,3,Facility Upgrade
Etobicoke-Lakeshore,3,New Park
Spadina-Fort York,10,Facility Upgrade
Spadina-Fort York,10,Facility Upgrade
Parkdale-High Park,4,Master Plan
Parkdale-High Park,4,Facility Upgrade
Spadina-Fort York,10,Facility Upgrade
Parkdale-High Park,4,New Rec. Centre
Toronto Centre,13,Facility Upgrade
Spadina-Fort York,10,Facility Upgrade
Etobicoke Centre,2,Facility Upgrade
Etobicoke Centre,2,Master Plan
Toronto Centre,13,New Park
Toronto Centre,13,New Park
Toronto Centre,13,Facility Upgrade
Toronto Centre,13,Facility Upgrade
Davenport,9,Facility Upgrade
Toronto Centre,13,New Park
Toronto Centre,13,Facility Upgrade
Parkdale-High Park,4,Facility Upgrade
Etobicoke Centre,2,Facility Upgrade
Davenport,9,Facility Upgrade
University-Rosedale,11,New Park
University-Rosedale,11,New Park
University-Rosedale,11,Facility Upgrade
Davenport,9,New Rec. Centre
Toronto Centre,13,Facility Upgrade
Toronto Centre,13,Facility Upgrade
Toronto-Danforth,14,Facility Upgrade
Toronto Centre,13,New Park
York South-Weston,5,Facility Upgrade
Toronto Centre,13,Facility Upgrade
University-Rosedale,11,New Park
Toronto-St. Paul's,12,New Park
York South-Weston,5,New Park
Etobicoke Centre,2,Facility Upgrade
Davenport,9,Facility Upgrade
Davenport,9,Facility Upgrade
Toronto-St. Paul's,12,New Park
Etobicoke Centre,2,Facility Upgrade
Toronto-St. Paul's,12,Facility Upgrade
Davenport,9,Master Plan
Toronto-St. Paul's,12,Facility Upgrade
Davenport,9,New Park
Etobicoke Centre,2,Facility Upgrade
York South-Weston,5,Master Plan
Etobicoke Centre,2,New Park
Scarborough Southwest,20,Facility Upgrade
University-Rosedale,11,Facility Upgrade
Toronto-St. Paul's,12,New Park
Toronto-St. Paul's,12,New Park
Scarborough Southwest,20,New Park
Scarborough Southwest,20,Facility Upgrade
Toronto-Danforth,14,Facility Upgrade
Scarborough Southwest,20,Facility Upgrade
Beaches-East York,19,Facility Upgrade
Scarborough Southwest,20,Master Plan
Scarborough Southwest,20,Facility Upgrade
Toronto-St. Paul's,12,New Rec. Centre
Eglinton-Lawrence,8,Facility Upgrade
Don Valley West,15,Facility Upgrade
Don Valley West,15,Facility Upgrade
Eglinton-Lawrence,8,Facility Upgrade
York South-Weston,5,New Park
Toronto-St. Paul's,12,Master Plan
Beaches-East York,19,Facility Upgrade
Don Valley West,15,New Park
Don Valley West,15,New Park
Don Valley West,15,Facility Upgrade
Don Valley West,15,New Park
York South-Weston,5,Facility Upgrade
York South-Weston,5,Facility Upgrade
Don Valley East,16,New Park
Don Valley East,16,New Park
Eglinton-Lawrence,8,New Rec. Centre
Don Valley East,16,New Rec. Centre
Eglinton-Lawrence,8,New Park
Eglinton-Lawrence,8,New Park
Etobicoke North,1,Master Plan
Humber River-Black Creek,7,New Rec. Centre
Eglinton-Lawrence,8,Facility Upgrade
York Centre,6,New Park
York Centre,6,New Park
Eglinton-Lawrence,8,Master Plan
Scarborough-Guildwood,24,Facility Upgrade
Willowdale,18,New Park
Scarborough Centre,21,New Park
Willowdale,18,Facility Upgrade
Don Valley North,17,Facility Upgrade
York Centre,6,Facility Upgrade
Scarborough-Guildwood,24,New Park
Scarborough-Rouge Park,25,Facility Upgrade
Willowdale,18,New Park
Scarborough-Guildwood,24,Facility Upgrade
Don Valley North,17,Facility Upgrade
Don Valley North,17,Facility Upgrade
Don Valley North,17,Facility Upgrade
Willowdale,18,New Park
Willowdale,18,New Rec. Centre
Scarborough-Guildwood,24,Facility Upgrade
Scarborough-Agincourt,22,Master Plan
Willowdale,18,Facility Upgrade
Scarborough North,23,Facility Upgrade
Scarborough-Agincourt,22,Facility Upgrade
Scarborough-Rouge Park,25,New Rec. Centre
Scarborough-Agincourt,22,Facility Upgrade
Scarborough North,23,Facility Upgrade
York Centre,6,Facility Upgrade
Beaches-East York,19,New Park
Scarborough Southwest,20,Facility Upgrade
Beaches-East York,19,Facility Upgrade
Toronto-St. Paul's,12,New Park
Toronto-St. Paul's,12,New Park
Spadina-Fort York,10,New Park
Humber River-Black Creek,7,New Park
Etobicoke Centre,2,Facility Upgrade
York South-Weston,5,Facility Upgrade
Humber River-Black Creek,7,Facility Upgrade
Etobicoke Centre,2,Facility Upgrade
Humber River-Black Creek,7,Facility Upgrade
Beaches-East York,19,Facility Upgrade
Etobicoke-Lakeshore,3,Facility Upgrade
Eglinton-Lawrence,8,Facility Upgrade
Don Valley West,15,Master Plan
Etobicoke-Lakeshore,3,Master Plan
Don Valley East,16,New Park
Spadina-Fort York,10,New Rec. Centre
Etobicoke-Lakeshore,3,Facility Upgrade
Etobicoke-Lakeshore,3,Facility Upgrade
Spadina-Fort York,10,New Park
Beaches-East York,19,New Park
Scarborough-Rouge Park,25,Facility Upgrade
York Centre,6,Facility Upgrade
Scarborough-Guildwood,24,Facility Upgrade
Toronto Centre,13,Facility Upgrade
Scarborough Centre,21,Master Plan
Spadina-Fort York,10,New Park
Spadina-Fort York,10,Facility Upgrade
Etobicoke-Lakeshore,3,Facility Upgrade
Toronto Centre,13,Facility Upgrade
York South-Weston,5,Facility Upgrade
Spadina-Fort York,10,New Park
Scarborough-Rouge Park,25,Facility Upgrade
Toronto Centre,13,Facility Upgrade
Parkdale-High Park,4,Facility Upgrade
Don Valley North,17,Facility Upgrade
Scarborough North,23,Facility Upgrade
Eglinton-Lawrence,8,Facility Upgrade
Scarborough Centre,21,Facility Upgrade
Scarborough-Agincourt,22,Facility Upgrade
Don Valley West,15,Facility Upgrade
Willowdale,18,Facility Upgrade
Willowdale,18,Facility Upgrade
Scarborough-Rouge Park,25,Facility Upgrade
Scarborough North,23,Facility Upgrade
Scarborough-Agincourt,22,Facility Upgrade
Don Valley North,17,Facility Upgrade
Etobicoke-Lakeshore,3,New Park
Etobicoke-Lakeshore,3,Facility Upgrade
Parkdale-High Park,4,Facility Upgrade
Etobicoke Centre,2,Facility Upgrade
Toronto-Danforth,14,Facility Upgrade
Toronto-St. Paul's,12,Facility Upgrade
Parkdale-High Park,4,Facility Upgrade
Spadina-Fort York,10,Facility Upgrade
Don Valley East,16,Facility Upgrade
Etobicoke North,1,Facility Upgrade
York Centre,6,Facility Upgrade
Eglinton-Lawrence,8,New Park
Willowdale,18,Facility Upgrade
Eglinton-Lawrence,8,New Park
Scarborough-Agincourt,22,Facility Upgrade
Etobicoke Centre,2,Master Plan
Beaches-East York,19,Master Plan
Scarborough Centre,21,Master Plan
Scarborough-Guildwood,24,Master Plan
Davenport,9,Master Plan
York Centre,6,Facility Upgrade
Willowdale,18,Facility Upgrade
Don Valley North,17,Facility Upgrade
Don Valley East,16,Facility Upgrade
Willowdale,18,Facility Upgrade
Scarborough Centre,21,New Park
York Centre,6,Facility Upgrade
Don Valley North,17,Facility Upgrade
Willowdale,18,Facility Upgrade
Scarborough-Agincourt,22,New Park
Don Valley North,17,Facility Upgrade
Humber River-Black Creek,7,New Park
Eglinton-Lawrence,8,Facility Upgrade
Eglinton-Lawrence,8,Facility Upgrade
Spadina-Fort York,10,New Park
Scarborough North,23,Facility Upgrade
York Centre,6,New Park
Toronto-St. Paul's,12,New Park
Davenport,9,New Park
York South-Weston,5,Facility Upgrade
Etobicoke Centre,2,Facility Upgrade
University-Rosedale,11,Facility Upgrade
Toronto Centre,13,Facility Upgrade
